database_id,cmm_id,prediction
446798,1140,1127.9736
5843397,1142,1045.9572
56940677,1144,844.9848
5459829,1145,1470.6908
6506224,1147,994.5889
5363137,1148,1055.8406
5281915,1149,1109.5236
5283544,1150,1130.3688
5283545,1151,1146.6854
5280473,1152,1107.6594
5283546,1153,1155.0138
25010748,1155,1134.8031
25010761,1156,1131.2555
25010746,1157,980.348
25010743,1158,1013.01465
135398691,1159,1091.3855
24892729,1160,763.3788
5280825,1165,1101.6289
5280760,1166,985.251
5280776,1167,1021.7778
11954011,1168,1052.1882
14985,1169,1431.8306
5282347,1171,1070.0101
5282348,1172,1082.1948
5282350,1173,1065.0634
5282349,1174,1099.0297
92729,1179,1446.4595
92094,1180,1439.4847
5283547,1181,1153.4963
5284607,1183,1435.5792
5280540,1184,1336.1174
5280585,1185,1419.8391
5283548,1189,1004.5534
5280338,1193,1004.5534
45479680,1195,1045.8446
5280604,1198,975.8654
5280413,1199,1054.2484
5280658,1200,1095.6624
5280700,1202,975.8654
45479374,1205,1009.3163500000001
92155,1222,1431.484
164874,1223,1377.6326
441680,1224,1387.1426
167650,1265,1056.4293
5497103,1273,1160.532
94190,1274,1178.039
10747814,1275,1208.991
5459377,1320,1147.4539
24778611,1321,1193.6831
129657,1322,1168.659
24778615,1323,1195.9958
131150,1324,1160.2075
24778618,1325,1216.5137
24778620,1326,1216.5137
24778624,1328,1220.3696
24778625,1329,1254.8212
24778627,1330,1271.0354
24778633,1333,1148.0405
24778634,1334,1185.2734
24778635,1335,1292.5479
24778638,1336,1178.039
24778639,1337,1312.0333
24778642,1338,1159.5127
24778643,1339,1231.4384
24778648,1342,1186.4778
24778654,1344,1168.659
24778655,1345,1167.6287
24778657,1346,1196.7731
11787533,1348,1190.9651
24778662,1349,1210.2529
24778664,1350,1257.3582
24778679,1354,1168.659
24778680,1355,1167.6287
452110,1356,1160.2075
6443788,1357,1216.5137
24778686,1361,1148.0405
24778688,1363,1160.532
5287971,1375,1250.1566
24778699,1376,1255.1361
24778702,1377,1214.364
24778703,1378,1222.6609
24778711,1383,1178.039
24778715,1384,1215.4963
24778719,1386,1237.2041
24778723,1388,1267.718
24778726,1389,1159.5127
24778728,1390,1231.4384
24778732,1391,1194.0917
24778735,1392,1253.4978
24778737,1393,1284.2499
24778743,1396,1157.984
24778745,1397,1226.7606
24778764,1409,1219.9679
24778766,1410,1268.8569
24778767,1411,1268.8569
24778768,1412,1223.6624
24778769,1413,1275.2379
24778771,1415,1224.833
24778773,1416,1301.9797
3082163,1437,1160.2075
18631368,1438,1148.0405
24778811,1439,1160.532
24778815,1441,1178.1853
24778825,1448,1178.1853
6441487,1452,1230.8629
24778833,1453,1183.3195
24778840,1456,1159.5127
24778842,1457,1231.4384
24778847,1462,1228.1991
24778855,1469,1206.5792
24778857,1471,1231.2164
16219824,1472,1177.8401
24778860,1474,1212.7468
24778864,1476,1157.984
24778866,1477,1226.7606
24778868,1479,1197.1486
24778871,1480,1218.0952
24778873,1481,1251.2892
24778876,1482,1202.1499
24778880,1484,1110.6115
24778881,1485,1220.6942
24778894,1492,1178.1853
24778895,1493,1209.4099
