database_id,cmm_id,prediction
NPA000763,758,793.01526
NPA000764,759,1104.6649
NPA000765,760,850.64624
NPA000766,761,700.28625
NPA000767,762,712.7964
NPA000768,763,736.7425
NPA000769,764,553.9407
NPA000770,765,1034.1935
NPA000771,766,1088.6858
NPA000772,767,921.7647
NPA000773,768,1091.5774
NPA000774,769,855.067
NPA000775,770,657.04926
NPA000776,771,917.8804
NPA000777,772,921.21204
NPA000778,773,1101.1683
NPA000779,774,758.486
NPA000780,775,948.83954
NPA000781,776,914.9227
NPA000782,777,730.2007
NPA000783,778,718.18225
NPA000784,779,593.089
NPA000785,780,1468.8872
NPA000786,781,959.965
NPA000787,782,657.59955
NPA000788,783,761.83954
NPA000789,784,877.2775
NPA000790,785,1218.8235
NPA000791,786,1063.9132
NPA000792,787,813.7286
NPA000793,788,1044.8114
NPA000794,789,968.7476
NPA000795,790,917.1542
NPA000796,791,721.17206
NPA000797,792,889.90356
NPA000798,793,1004.86945
NPA000799,794,950.47284
NPA000800,795,761.37946
NPA000801,796,579.93994
NPA000802,797,759.62225
NPA000803,798,1264.5624
NPA000804,799,594.86725
NPA000805,800,1052.3796
NPA000806,801,1123.1658
NPA000807,802,761.64087
NPA000808,803,1078.5919
NPA000809,804,714.3443
NPA000810,805,911.9068
NPA000811,806,781.17065
NPA000812,807,727.8218
NPA000813,808,934.6315
NPA000814,809,762.66614
NPA000815,810,1224.6937
NPA000816,811,939.18933
NPA000817,812,969.96185
NPA000818,813,1012.2892
NPA000819,814,992.1707
NPA000820,815,885.83984
NPA000821,816,792.1873
NPA000822,817,615.83795
NPA000823,818,653.5604
NPA000824,819,826.0885
NPA000825,820,999.8745
NPA000826,821,728.4378
NPA000827,822,879.1569
NPA000828,823,717.71674
NPA000829,824,900.01324
NPA000830,825,652.4416
NPA000831,826,899.2095
NPA000832,827,975.00507
NPA000833,828,757.88245
NPA000834,829,817.38184
NPA000835,830,650.5567
NPA000836,831,573.8821
NPA000837,832,887.0308
NPA000838,833,683.49725
NPA000839,834,809.4157
NPA000840,835,743.3106
NPA000841,836,973.75464
NPA000842,837,884.70233
NPA000843,838,709.86957
NPA000844,839,735.0729
NPA000845,840,702.2925
NPA000846,841,852.07806
NPA000847,842,678.44586
NPA000848,843,798.8952
NPA000849,844,756.24146
NPA000850,845,692.25323
NPA000851,846,720.7671
NPA000852,847,743.2978
NPA000853,848,1001.3149
NPA000854,849,785.6708
NPA000855,850,913.3367
NPA000856,851,937.22845
NPA000857,852,886.7124
NPA000858,853,1003.3775
NPA000859,854,975.61084
NPA000860,855,911.9068
NPA000861,856,1110.6211
NPA000862,857,752.1127
NPA000863,858,1193.566
NPA000864,859,900.3434
NPA000866,860,962.6095
NPA000867,861,1217.2098
NPA000868,862,772.73865
NPA000869,863,1106.2748
NPA000871,864,627.96704
NPA000872,865,710.03345
NPA000873,866,1186.2153
NPA000874,867,1032.6461
NPA000875,868,998.6317
NPA000876,869,820.1215
NPA000877,870,810.30035
NPA000878,871,978.76605
NPA000879,872,888.7001
NPA000880,873,725.25714
NPA000881,874,572.5191
NPA000882,875,766.7013
NPA000883,876,935.64276
NPA000884,877,597.9852
NPA000885,878,811.9326
NPA000886,879,1065.3767
NPA000887,880,804.96515
NPA000888,881,724.6732
NPA000889,882,872.4398
NPA000890,883,83.626045
NPA000891,884,776.9757
NPA000892,885,611.3392
NPA000893,886,924.12354
NPA000894,887,797.7503
NPA000895,888,818.5441
NPA000896,889,836.1701
NPA000897,890,798.1211
